Id,Designator,Package,Quantity,Designation,Supplier and ref,
1,U2,SOT-223-3_TabPin2,1,LM1117-3.3,Titan,
2,U3,ESP8266-13F,1,ESP8266-12F,1528-1438-ND,
3,"R5,R2,R4,R1",R_0603_1608Metric,4,12K,,/
4,R3,R_0603_1608Metric,1,R,,/
5,J3,PinSocket_1x04_P2.54mm_Vertical,1,Giger counter conn,X,
6,J4,PinSocket_1x06_P2.54mm_Vertical,1,FTDI,X,
7,"C3,C4",C_0805_2012Metric,2,C,,/
8,C1,C_0805_2012Metric,1,10uF,,/
9,J1,PinSocket_2x04_P2.54mm_Vertical,1,Expanction,X,
10,R6,R_0603_1608Metric,1,330r,,/
11,J6,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch,,/
12,C2,C_0805_2012Metric,1,4.7uF,,/
13,J5,PinSocket_1x02_P2.54mm_Vertical,1,power-in,X,
14,REF**,rg-logo,1,rg-logo,X,
15,J2,PinSocket_1x01_P2.54mm_Vertical,1,Beeper,X,
16,D1,D_SOD-323,1,NSR0530HT1G,NSR0530HT1GOSCT-ND,
17,L1,L_Taiyo-Yuden_NR-60xx_HandSoldering,1,68uH,587-2635-1-ND,
18,JP1,SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm,1,Vcc,X,
19,U1,TO-263-5_TabPin3,1,LM2596S-5,4518-LM2596S-5.0CT-ND,
